"thread_id","post_id","parent_post_id","post_text","group_var","emotional_support","professional_challenges","advice_resolution","new_practitioner_identity","stakeholder_interaction","comparison_reflection","resource_sharing","practice_discussion","learner_outcomes","validation_gratitude"
"T1","T1_P1",NA,"Synthetic post T1_P1 - placeholder text","Group2",0,0,0,0,1,0,0,1,0,0
"T1","T1_P2","T1_P3","Synthetic post T1_P2 - placeholder text","Group1",0,0,0,0,0,0,0,1,1,0
"T1","T1_P3","T1_P1","Synthetic post T1_P3 - placeholder text","Group2",0,0,0,0,1,0,0,1,1,1
"T1","T1_P4","T1_P4","Synthetic post T1_P4 - placeholder text","Group2",1,1,1,0,1,0,1,0,0,0
"T1","T1_P5","T1_P1","Synthetic post T1_P5 - placeholder text","Group2",0,0,1,1,1,1,1,0,1,0
"T1","T1_P6","T1_P1","Synthetic post T1_P6 - placeholder text","Group1",1,0,0,0,0,0,0,0,0,0
"T1","T1_P7","T1_P5","Synthetic post T1_P7 - placeholder text","Group2",0,0,0,1,0,0,0,1,0,1
"T1","T1_P8","T1_P3","Synthetic post T1_P8 - placeholder text","Group2",0,0,1,0,0,0,0,0,0,0
"T2","T2_P1",NA,"Synthetic post T2_P1 - placeholder text","Group2",0,0,0,1,0,0,0,0,0,0
"T2","T2_P2","T2_P2","Synthetic post T2_P2 - placeholder text","Group1",0,1,0,0,1,1,0,1,0,1
"T2","T2_P3","T2_P7","Synthetic post T2_P3 - placeholder text","Group2",0,0,0,0,0,0,0,0,0,1
"T2","T2_P4","T2_P2","Synthetic post T2_P4 - placeholder text","Group2",0,0,0,1,0,1,0,0,0,0
"T2","T2_P5","T2_P1","Synthetic post T2_P5 - placeholder text","Group1",0,0,0,0,1,1,0,0,0,0
"T2","T2_P6","T2_P6","Synthetic post T2_P6 - placeholder text","Group2",1,0,0,0,1,0,1,0,1,1
"T2","T2_P7","T2_P3","Synthetic post T2_P7 - placeholder text","Group1",1,0,0,0,0,1,0,1,0,0
"T2","T2_P8","T2_P4","Synthetic post T2_P8 - placeholder text","Group2",0,0,0,1,0,0,0,0,0,0
"T3","T3_P1",NA,"Synthetic post T3_P1 - placeholder text","Group1",0,1,0,0,0,0,0,0,0,0
"T3","T3_P2","T3_P6","Synthetic post T3_P2 - placeholder text","Group1",0,0,0,0,0,1,0,1,0,0
"T3","T3_P3","T3_P1","Synthetic post T3_P3 - placeholder text","Group1",0,0,1,1,1,0,0,0,0,0
"T3","T3_P4","T3_P3","Synthetic post T3_P4 - placeholder text","Group1",0,0,0,0,1,1,0,0,1,1
"T3","T3_P5","T3_P5","Synthetic post T3_P5 - placeholder text","Group1",0,0,1,1,1,0,0,0,0,0
"T3","T3_P6","T3_P4","Synthetic post T3_P6 - placeholder text","Group1",1,1,0,0,0,0,1,0,0,0
"T3","T3_P7","T3_P2","Synthetic post T3_P7 - placeholder text","Group1",0,0,0,1,0,1,0,0,1,0
"T4","T4_P1",NA,"Synthetic post T4_P1 - placeholder text","Group2",0,0,0,1,1,1,0,1,0,0
"T4","T4_P2","T4_P5","Synthetic post T4_P2 - placeholder text","Group2",0,0,0,0,1,0,0,1,0,0
"T4","T4_P3","T4_P1","Synthetic post T4_P3 - placeholder text","Group2",1,1,0,1,0,0,0,0,0,0
"T4","T4_P4","T4_P1","Synthetic post T4_P4 - placeholder text","Group1",1,0,0,1,0,1,0,1,0,0
"T4","T4_P5","T4_P2","Synthetic post T4_P5 - placeholder text","Group2",1,0,0,0,0,0,0,0,0,0
"T4","T4_P6","T4_P3","Synthetic post T4_P6 - placeholder text","Group1",0,0,0,0,0,0,0,1,0,1
"T4","T4_P7","T4_P4","Synthetic post T4_P7 - placeholder text","Group1",1,1,1,0,0,0,0,0,0,0
"T5","T5_P1",NA,"Synthetic post T5_P1 - placeholder text","Group2",0,0,1,0,0,0,1,0,0,0
"T5","T5_P2","T5_P5","Synthetic post T5_P2 - placeholder text","Group1",0,0,0,1,0,0,0,1,0,0
"T5","T5_P3","T5_P7","Synthetic post T5_P3 - placeholder text","Group2",0,1,0,0,1,1,0,1,0,0
"T5","T5_P4","T5_P5","Synthetic post T5_P4 - placeholder text","Group2",0,0,0,0,1,0,0,0,0,1
"T5","T5_P5","T5_P3","Synthetic post T5_P5 - placeholder text","Group2",0,0,1,0,0,0,0,1,0,0
"T5","T5_P6","T5_P6","Synthetic post T5_P6 - placeholder text","Group2",0,1,0,0,0,1,0,0,0,0
"T5","T5_P7","T5_P1","Synthetic post T5_P7 - placeholder text","Group1",1,0,0,0,0,0,1,0,0,0
"T5","T5_P8","T5_P2","Synthetic post T5_P8 - placeholder text","Group1",0,0,0,0,1,0,0,0,0,1
"T6","T6_P1",NA,"Synthetic post T6_P1 - placeholder text","Group1",0,0,0,0,1,0,0,0,1,0
"T6","T6_P2","T6_P5","Synthetic post T6_P2 - placeholder text","Group2",0,0,0,1,0,0,0,0,0,0
"T6","T6_P3","T6_P8","Synthetic post T6_P3 - placeholder text","Group2",1,0,0,1,0,0,0,0,0,0
"T6","T6_P4","T6_P2","Synthetic post T6_P4 - placeholder text","Group2",0,0,0,0,0,0,0,0,0,0
"T6","T6_P5","T6_P1","Synthetic post T6_P5 - placeholder text","Group2",1,1,0,0,1,0,1,0,0,1
"T6","T6_P6","T6_P9","Synthetic post T6_P6 - placeholder text","Group1",0,0,1,0,1,1,0,0,0,0
"T6","T6_P7","T6_P9","Synthetic post T6_P7 - placeholder text","Group1",0,0,0,0,0,0,0,0,0,0
"T6","T6_P8","T6_P6","Synthetic post T6_P8 - placeholder text","Group1",0,1,1,1,0,0,0,0,0,1
"T6","T6_P9","T6_P5","Synthetic post T6_P9 - placeholder text","Group1",1,1,0,0,0,0,1,1,1,0
"T6","T6_P10","T6_P9","Synthetic post T6_P10 - placeholder text","Group2",0,0,1,1,0,0,0,0,1,0
"T7","T7_P1",NA,"Synthetic post T7_P1 - placeholder text","Group2",0,0,0,0,1,0,0,0,0,0
"T7","T7_P2","T7_P7","Synthetic post T7_P2 - placeholder text","Group1",0,1,0,1,0,0,1,1,1,0
"T7","T7_P3","T7_P2","Synthetic post T7_P3 - placeholder text","Group1",0,0,0,0,0,0,0,0,1,0
"T7","T7_P4","T7_P4","Synthetic post T7_P4 - placeholder text","Group2",0,1,0,0,0,0,0,0,0,0
"T7","T7_P5","T7_P7","Synthetic post T7_P5 - placeholder text","Group2",0,0,0,1,0,0,0,0,0,1
"T7","T7_P6","T7_P8","Synthetic post T7_P6 - placeholder text","Group1",0,1,0,0,0,0,0,0,0,0
"T7","T7_P7","T7_P4","Synthetic post T7_P7 - placeholder text","Group1",0,0,0,0,0,0,0,0,0,0
"T7","T7_P8","T7_P6","Synthetic post T7_P8 - placeholder text","Group2",0,1,1,0,0,0,0,0,0,1
"T7","T7_P9","T7_P6","Synthetic post T7_P9 - placeholder text","Group2",0,0,0,0,0,1,0,0,0,0
"T8","T8_P1",NA,"Synthetic post T8_P1 - placeholder text","Group1",0,0,0,0,0,1,0,0,0,0
"T8","T8_P2","T8_P3","Synthetic post T8_P2 - placeholder text","Group1",0,0,1,1,1,0,0,1,0,0
"T8","T8_P3","T8_P1","Synthetic post T8_P3 - placeholder text","Group2",1,0,0,1,0,1,0,0,0,1
"T8","T8_P4","T8_P2","Synthetic post T8_P4 - placeholder text","Group1",1,1,0,1,0,0,0,0,0,0
"T8","T8_P5","T8_P1","Synthetic post T8_P5 - placeholder text","Group2",1,0,0,0,0,0,0,0,0,0
"T8","T8_P6","T8_P2","Synthetic post T8_P6 - placeholder text","Group2",1,0,0,1,0,0,1,1,0,0
"T9","T9_P1",NA,"Synthetic post T9_P1 - placeholder text","Group2",0,1,1,0,0,0,0,0,0,0
"T9","T9_P2","T9_P4","Synthetic post T9_P2 - placeholder text","Group2",0,0,1,0,1,0,1,1,0,0
"T9","T9_P3","T9_P5","Synthetic post T9_P3 - placeholder text","Group1",1,0,0,0,1,1,0,0,0,0
"T9","T9_P4","T9_P5","Synthetic post T9_P4 - placeholder text","Group2",1,0,0,1,1,0,0,1,1,0
"T9","T9_P5","T9_P6","Synthetic post T9_P5 - placeholder text","Group2",0,0,0,0,0,1,0,0,0,0
"T9","T9_P6","T9_P3","Synthetic post T9_P6 - placeholder text","Group2",1,0,0,0,0,0,1,0,1,0
"T9","T9_P7","T9_P1","Synthetic post T9_P7 - placeholder text","Group1",0,1,1,0,0,0,0,0,1,0
"T10","T10_P1",NA,"Synthetic post T10_P1 - placeholder text","Group2",0,1,0,1,0,1,0,1,1,0
"T10","T10_P2","T10_P4","Synthetic post T10_P2 - placeholder text","Group2",0,0,0,0,0,0,1,0,1,1
"T10","T10_P3","T10_P6","Synthetic post T10_P3 - placeholder text","Group2",0,1,0,0,0,0,0,0,0,0
"T10","T10_P4","T10_P1","Synthetic post T10_P4 - placeholder text","Group1",0,0,1,1,0,0,0,0,0,0
"T10","T10_P5","T10_P6","Synthetic post T10_P5 - placeholder text","Group1",0,0,0,0,0,0,0,0,0,0
"T10","T10_P6","T10_P1","Synthetic post T10_P6 - placeholder text","Group2",0,0,0,0,0,1,1,0,0,1
"T10","T10_P7","T10_P7","Synthetic post T10_P7 - placeholder text","Group2",0,0,0,1,0,1,0,1,0,0
"T10","T10_P8","T10_P3","Synthetic post T10_P8 - placeholder text","Group2",0,0,0,0,0,0,0,0,0,0
"T11","T11_P1",NA,"Synthetic post T11_P1 - placeholder text","Group2",0,0,0,0,0,0,0,1,0,0
"T11","T11_P2","T11_P8","Synthetic post T11_P2 - placeholder text","Group1",0,0,0,0,0,0,0,1,0,0
"T11","T11_P3","T11_P9","Synthetic post T11_P3 - placeholder text","Group2",0,0,0,0,0,1,0,0,0,0
"T11","T11_P4","T11_P3","Synthetic post T11_P4 - placeholder text","Group1",1,1,0,0,0,0,1,0,0,0
"T11","T11_P5","T11_P7","Synthetic post T11_P5 - placeholder text","Group2",1,0,1,0,1,0,0,0,1,0
"T11","T11_P6","T11_P3","Synthetic post T11_P6 - placeholder text","Group1",0,0,0,1,0,0,0,0,0,0
"T11","T11_P7","T11_P7","Synthetic post T11_P7 - placeholder text","Group1",0,0,0,0,0,0,1,0,0,0
"T11","T11_P8","T11_P6","Synthetic post T11_P8 - placeholder text","Group1",1,0,0,1,1,0,1,0,0,1
"T11","T11_P9","T11_P5","Synthetic post T11_P9 - placeholder text","Group2",1,1,1,0,0,0,0,0,1,1
"T11","T11_P10","T11_P5","Synthetic post T11_P10 - placeholder text","Group2",0,0,0,0,0,0,0,0,0,0
"T12","T12_P1",NA,"Synthetic post T12_P1 - placeholder text","Group1",0,0,0,0,0,0,0,0,1,0
"T12","T12_P2","T12_P3","Synthetic post T12_P2 - placeholder text","Group1",0,0,0,0,0,0,1,1,0,1
"T12","T12_P3","T12_P2","Synthetic post T12_P3 - placeholder text","Group2",0,0,0,0,0,0,1,0,0,0
"T12","T12_P4","T12_P2","Synthetic post T12_P4 - placeholder text","Group1",0,0,1,1,0,1,0,0,0,0
"T12","T12_P5","T12_P2","Synthetic post T12_P5 - placeholder text","Group1",1,0,0,0,0,0,1,0,0,0
"T12","T12_P6","T12_P4","Synthetic post T12_P6 - placeholder text","Group2",0,0,1,1,0,0,0,0,1,0
"T12","T12_P7","T12_P2","Synthetic post T12_P7 - placeholder text","Group2",0,1,0,1,0,0,0,0,1,0
"T12","T12_P8","T12_P2","Synthetic post T12_P8 - placeholder text","Group1",1,0,0,1,0,0,0,0,0,1
